id,taxa,,,,,
231375,66.97,,,,,
231380,47.39,,,,,
231395,100.01,,,,,
231400,70.75,,,,,
240010,63.04,,,,,
240020,47.55,,,,,
240030,53.72,,,,,
240040,66.39,,,,,
240050,100,,,,,
240060,64.66,,,,,
240070,46.63,,,,,
240080,64.76,,,,,
240090,0,,,,,
240100,36.44,,,,,
240110,73.25,,,,,
240130,74.01,,,,,
240145,62.67,,,,,
240150,32.7,,,,,
240160,20.52,,,,,
240165,48.85,,,,,
240170,28.51,,,,,
240180,44.93,,,,,
240185,36.66,,,,,
240190,76.64,,,,,
240200,72.75,,,,,
240210,82.87,,,,,
240230,49.63,,,,,
240240,0,,,,,
240250,24.22,,,,,
240270,78,,,,,
240280,84.3,,,,,
240290,77.68,,,,,
240300,47.54,,,,,
240310,79.48,,,,,
240320,91.57,,,,,
240330,68.84,,,,,
240340,80.11,,,,,
240370,19.06,,,,,
240375,75.55,,,,,
240380,80.97,,,,,
240390,50.79,,,,,
240400,44.48,,,,,
240410,0,,,,,
240430,52.24,,,,,
240440,55.39,,,,,
240450,79.6,,,,,
240460,26.26,,,,,
240470,36.55,,,,,
240480,78.27,,,,,
240485,0,,,,,
240490,37.89,,,,,
240500,77.45,,,,,
240510,59.16,,,,,
240520,85.38,,,,,
240530,59.59,,,,,
240540,72.08,,,,,
240550,60.63,,,,,
240560,44.75,,,,,
240570,60.46,,,,,
240580,41.27,,,,,
240590,0,,,,,
240600,64.72,,,,,
240610,76.86,,,,,
240620,56.06,,,,,
240630,56.5,,,,,
240640,35.85,,,,,
240650,92.08,,,,,
240660,91.42,,,,,
240670,67.84,,,,,
240680,70.04,,,,,
240690,36.42,,,,,
240700,0,,,,,
240710,37.52,,,,,
240720,42.72,,,,,
240725,0,,,,,
240730,79.49,,,,,
240740,58.88,,,,,
240760,37.6,,,,,
240780,59.78,,,,,
240790,48.19,,,,,
240800,43.59,,,,,
240830,78,,,,,
240840,55.01,,,,,
240850,88.24,,,,,
240860,48.84,,,,,
240870,72.26,,,,,
240880,37.7,,,,,
240890,64.25,,,,,
240910,69.02,,,,,
240920,55.21,,,,,
240930,12.62,,,,,
240933,70.2,,,,,
240940,67.57,,,,,
240950,18.56,,,,,
240960,104.28,,,,,
240970,62.87,,,,,
240990,43.86,,,,,
241000,31.71,,,,,
241010,34.21,,,,,
241020,55.41,,,,,
241025,60.74,,,,,
241030,62.59,,,,,
241040,17.39,,,,,
241050,64.78,,,,,
241060,105.26,,,,,
241070,46.98,,,,,
241080,50.51,,,,,
241090,51.59,,,,,
241100,57.21,,,,,
241105,35.51,,,,,
241110,64.62,,,,,
241120,45.41,,,,,
241140,75.22,,,,,
241142,63.58,,,,,
241150,36.42,,,,,
241160,33.77,,,,,
241170,62.11,,,,,
241180,74.96,,,,,
241190,80.62,,,,,
241210,50.46,,,,,
241230,47.34,,,,,
241240,79.46,,,,,
241250,0,,,,,
241255,35.72,,,,,
241260,59.95,,,,,
241270,42.44,,,,,
241280,33.22,,,,,
241290,47.97,,,,,
241300,97.38,,,,,
241310,50.64,,,,,
241330,27.73,,,,,
241335,2.42,,,,,
241340,81.53,,,,,
241350,382.43,,,,,
241355,81.92,,,,,
241360,26,,,,,
241370,71.97,,,,,
241380,62.75,,,,,
241390,40.95,,,,,
241400,56.48,,,,,
241410,56.5,,,,,
241415,50.6,,,,,
241430,53.42,,,,,
241440,32.62,,,,,
241445,42.75,,,,,
241450,48.79,,,,,
241460,91.44,,,,,
241470,89.09,,,,,
241475,70.74,,,,,
241480,52.84,,,,,
241490,74.18,,,,,
250010,57.89,,,,,
250020,68.74,,,,,
250053,97.73,,,,,
250057,0,,,,,
250070,0,,,,,
250073,84.16,,,,,
250077,56.5,,,,,
250090,83.19,,,,,
250100,93.1,,,,,
250115,80.81,,,,,
250120,0,,,,,
250130,0,,,,,
250135,0,,,,,
250150,70.58,,,,,
250153,0,,,,,
250157,36.49,,,,,
250160,72.66,,,,,
250170,0,,,,,
250200,57.3,,,,,
250205,0,,,,,
250210,53.48,,,,,
250215,74.34,,,,,
250220,59.33,,,,,
250230,94.47,,,,,
250240,50.77,,,,,
250250,44.12,,,,,
250260,30.41,,,,,
250280,71.65,,,,,
250290,79.09,,,,,
250310,52.6,,,,,
250330,66.45,,,,,
250340,50.18,,,,,
250350,65.67,,,,,
250355,0,,,,,
250360,51.26,,,,,
250370,64.57,,,,,
250375,67.21,,,,,
250390,57.66,,,,,
250400,69.31,,,,,
250407,67.71,,,,,
250410,0,,,,,
250415,79.93,,,,,
250420,40.72,,,,,
250430,60.99,,,,,
250435,57.49,,,,,
250440,56.9,,,,,
250450,60.6,,,,,
250470,49.34,,,,,
250480,0,,,,,
250485,57.25,,,,,
250500,74.92,,,,,
250510,0,,,,,
250530,0,,,,,
250535,0,,,,,
250540,0,,,,,
250550,41.61,,,,,
250560,57.89,,,,,
250570,0,,,,,
250590,50.45,,,,,
250600,86.62,,,,,
250610,60.14,,,,,
250620,66.14,,,,,
250625,0,,,,,
250650,89.27,,,,,
250660,47.51,,,,,
250670,89.65,,,,,
250680,79.29,,,,,
250690,48.27,,,,,
250700,55.9,,,,,
250720,72.26,,,,,
250740,87.45,,,,,
250770,77.31,,,,,
250780,0,,,,,
250800,60.49,,,,,
250810,87.14,,,,,
250830,59.38,,,,,
250840,95.72,,,,,
250850,86.04,,,,,
250855,50.5,,,,,
250870,95.2,,,,,
250880,48.32,,,,,
250900,65.88,,,,,
250915,97.39,,,,,
250920,52.17,,,,,
250937,74.51,,,,,
250939,68.04,,,,,
250940,26.43,,,,,
250950,0,,,,,
250960,87.49,,,,,
250970,82.97,,,,,
250990,79.12,,,,,
251000,86.93,,,,,
251010,0,,,,,
251020,47.56,,,,,
251030,0,,,,,
251040,51.53,,,,,
251050,61.04,,,,,
251060,60.38,,,,,
251065,94.57,,,,,
251070,96.97,,,,,
251080,64.75,,,,,
251090,26.87,,,,,
251100,100,,,,,
251110,68.96,,,,,
251130,58.35,,,,,
251140,60.84,,,,,
251200,26.87,,,,,
251203,66.47,,,,,
251207,76.04,,,,,
251210,61.03,,,,,
251220,63.99,,,,,
251230,75.97,,,,,
251240,88.65,,,,,
251250,77.63,,,,,
251260,57.7,,,,,
251270,0,,,,,
251274,0,,,,,
251275,54.44,,,,,
251278,0,,,,,
251280,0,,,,,
251300,89.1,,,,,
251310,45.81,,,,,
251315,0,,,,,
251320,84.86,,,,,
251330,58.03,,,,,
251335,84.21,,,,,
251340,76.29,,,,,
251350,53.24,,,,,
251360,49.5,,,,,
251365,73.68,,,,,
251380,54.87,,,,,
251385,0,,,,,
251390,54.52,,,,,
251392,45.88,,,,,
251394,79.39,,,,,
251396,0,,,,,
251398,88.56,,,,,
251400,71.79,,,,,
251410,0,,,,,
251420,70.28,,,,,
251430,78.41,,,,,
251440,48.01,,,,,
251450,55.92,,,,,
251455,0,,,,,
251460,72.43,,,,,
251465,74.47,,,,,
251470,83.06,,,,,
251480,73.38,,,,,
251490,47.72,,,,,
251510,67.53,,,,,
251520,80.89,,,,,
251540,60.98,,,,,
251550,85.62,,,,,
251570,75.67,,,,,
251600,82.92,,,,,
251610,93.09,,,,,
251615,0,,,,,
251620,62.59,,,,,
251630,72.79,,,,,
251640,79.5,,,,,
251650,0,,,,,
251660,74.47,,,,,
251670,89.49,,,,,
251675,80,,,,,
251680,0,,,,,
251690,66.77,,,,,
251700,68.78,,,,,
251710,70.15,,,,,
251720,93.32,,,,,
251740,100,,,,,
260010,47.54,,,,,
260020,66.16,,,,,
260030,70.29,,,,,
260050,59.32,,,,,
260060,95.45,,,,,
260080,61.71,,,,,
260100,65.05,,,,,
260110,67.52,,,,,
260120,74.25,,,,,
260160,65.98,,,,,
260170,54.11,,,,,
260180,71.78,,,,,
260190,46.83,,,,,
260200,71.01,,,,,
260210,71.63,,,,,
260220,52.61,,,,,
260240,75.68,,,,,
260250,85.34,,,,,
260260,113.31,,,,,
260280,76.3,,,,,
260300,50.42,,,,,
260310,80.61,,,,,
260320,95.51,,,,,
260330,86.49,,,,,
260340,50.1,,,,,
260350,78.94,,,,,
260370,66.88,,,,,
260380,92.19,,,,,
260390,73.12,,,,,
260392,100,,,,,
260410,58.35,,,,,
260415,26.09,,,,,
260430,62.65,,,,,
260450,63.11,,,,,
260470,62.21,,,,,
260490,39.35,,,,,
260500,70.14,,,,,
260510,64.67,,,,,
260515,91.43,,,,,
260530,64.45,,,,,
260560,62.71,,,,,
260570,69.88,,,,,
260580,101.27,,,,,
260600,55.25,,,,,
260630,69.17,,,,,
260640,63.45,,,,,
260650,0,,,,,
260660,61.6,,,,,
260670,93.12,,,,,
260690,74.85,,,,,
260700,83.21,,,,,
260710,96.59,,,,,
260730,65.7,,,,,
260740,69.28,,,,,
260750,58.69,,,,,
260770,95.52,,,,,
260800,0,,,,,
260805,51.82,,,,,
260810,52.08,,,,,
260825,95.52,,,,,
260830,100.54,,,,,
260840,74.83,,,,,
260860,87.19,,,,,
260870,63.72,,,,,
260875,36.24,,,,,
260880,51.5,,,,,
260915,98.84,,,,,
260930,50.18,,,,,
260970,50.16,,,,,
260980,39.24,,,,,
260990,87.78,,,,,
261010,54.75,,,,,
261020,65.29,,,,,
261030,48.58,,,,,
261040,77.66,,,,,
261050,75.15,,,,,
261080,71.32,,,,,
261090,70.31,,,,,
261100,54.61,,,,,
261110,55.98,,,,,
261120,95.21,,,,,
261153,86.61,,,,,
261170,84.55,,,,,
261200,91.56,,,,,
261210,18.4,,,,,
261220,60.29,,,,,
261230,93.22,,,,,
261240,62.43,,,,,
261245,48.8,,,,,
261247,72.57,,,,,
261250,73.24,,,,,
261255,95.97,,,,,
261260,47.74,,,,,
261270,75.91,,,,,
261280,82.86,,,,,
261300,51.34,,,,,
261310,73.63,,,,,
261320,86.31,,,,,
261330,71.77,,,,,
261350,62.16,,,,,
261360,81.03,,,,,
261390,56.41,,,,,
261400,104.24,,,,,
261410,81.42,,,,,
261430,61.98,,,,,
261440,70.57,,,,,
261450,71.45,,,,,
261460,47.37,,,,,
261470,78.55,,,,,
261480,58.1,,,,,
261500,102.94,,,,,
261510,59.05,,,,,
261520,72.87,,,,,
261540,83.47,,,,,
261560,75.1,,,,,
261570,87.09,,,,,
261580,79.67,,,,,
261590,73.78,,,,,
261600,152.89,,,,,
261610,45.58,,,,,
261618,90.86,,,,,
261620,57.4,,,,,
270010,66.33,,,,,
270030,45.61,,,,,
270070,31.04,,,,,
270090,21.5,,,,,
270120,37.68,,,,,
270160,99.42,,,,,
270180,38.41,,,,,
270200,37.49,,,,,
270235,37.2,,,,,
270240,32.04,,,,,
270250,35.92,,,,,
270255,96.92,,,,,
270290,63.58,,,,,
270310,60.32,,,,,
270330,73.92,,,,,
270340,17.2,,,,,
270370,31.96,,,,,
270410,78.63,,,,,
270440,39,,,,,
270460,36.93,,,,,
270500,89.41,,,,,
270530,91.49,,,,,
270540,35.01,,,,,
270570,33.48,,,,,
270580,77.81,,,,,
270600,41.55,,,,,
270610,35.11,,,,,
270620,32.38,,,,,
270630,53.84,,,,,
270640,97.13,,,,,
270642,92.72,,,,,
270710,17.89,,,,,
270720,29.01,,,,,
270760,68.68,,,,,
270800,35.04,,,,,
270840,31.15,,,,,
270895,35.08,,,,,
270920,96.84,,,,,
280010,31.74,,,,,
280020,33.28,,,,,
280110,25.23,,,,,
280120,22.74,,,,,
280140,43.96,,,,,
280160,26.77,,,,,
280190,42.27,,,,,
280220,31.03,,,,,
280230,46.22,,,,,
280240,37.42,,,,,
280260,45.32,,,,,
280310,29.2,,,,,
280370,52.8,,,,,
280420,26.37,,,,,
280445,55.94,,,,,
280450,39.07,,,,,
280460,40.31,,,,,
280470,24.62,,,,,
280500,52.94,,,,,
280520,41.13,,,,,
280540,22.85,,,,,
280550,52.17,,,,,
280560,26.84,,,,,
280570,28.08,,,,,
280600,46.06,,,,,
280700,33.9,,,,,
280710,33.36,,,,,
280730,22.71,,,,,
280740,54.26,,,,,
290010,0,,,,,
290020,72.71,,,,,
290035,70.71,,,,,
290040,66.87,,,,,
290050,60,,,,,
290100,93.91,,,,,
290115,62.99,,,,,
290120,72.15,,,,,
290130,68.44,,,,,
290135,73.81,,,,,
290150,53.47,,,,,
290160,70.58,,,,,
290170,88.89,,,,,
290180,82.43,,,,,
290200,79.67,,,,,
290210,83.57,,,,,
290260,61.52,,,,,
290265,63.26,,,,,
290270,0,,,,,
290280,85.61,,,,,
290290,99.98,,,,,
290300,68.96,,,,,
290323,90.62,,,,,
290327,56.19,,,,,
290350,81.22,,,,,
290360,80.02,,,,,
290370,72.75,,,,,
290380,90.96,,,,,
290390,53.5,,,,,
290395,73.24,,,,,
290400,87.84,,,,,
290405,81.36,,,,,
290410,0,,,,,
290420,100.54,,,,,
290430,63.98,,,,,
290440,81.63,,,,,
290450,95.39,,,,,
290460,79.79,,,,,
290475,0,,,,,
290480,73.36,,,,,
290485,90.04,,,,,
290500,76.33,,,,,
290510,63.72,,,,,
290515,73.51,,,,,
290520,81.4,,,,,
290530,60.33,,,,,
290550,82.64,,,,,
290590,59.52,,,,,
290600,73.59,,,,,
290620,63.28,,,,,
290640,49.53,,,,,
290660,73.91,,,,,
290670,83.24,,,,,
290680,63.17,,,,,
290682,66.03,,,,,
290685,100,,,,,
290687,88.06,,,,,
290689,84.66,,,,,
290710,97.95,,,,,
290720,86.17,,,,,
290730,67.76,,,,,
290755,72.13,,,,,
290760,67.79,,,,,
290770,65.59,,,,,
290780,96.47,,,,,
290790,76.73,,,,,
290810,0,,,,,
290840,51.6,,,,,
290870,83.55,,,,,
290880,64.64,,,,,
290900,78.89,,,,,
290910,54.8,,,,,
290920,68.39,,,,,
290950,69.48,,,,,
290960,80.76,,,,,
290990,28.12,,,,,
291010,0,,,,,
291030,85.61,,,,,
291040,80.28,,,,,
291070,60.46,,,,,
291075,63.6,,,,,
291077,0,,,,,
291080,51.45,,,,,
291085,75.75,,,,,
291125,86.92,,,,,
291130,78.49,,,,,
291140,83.61,,,,,
291165,67.11,,,,,
291170,80.25,,,,,
291185,57.72,,,,,
291190,75.83,,,,,
291200,79.63,,,,,
291220,96.89,,,,,
291240,74.92,,,,,
291250,72.41,,,,,
291260,64.02,,,,,
291300,95.77,,,,,
291310,63.69,,,,,
291320,73.34,,,,,
291330,56.51,,,,,
291340,0,,,,,
291350,78.68,,,,,
291370,74.27,,,,,
291380,58.36,,,,,
291400,74.31,,,,,
291410,79.46,,,,,
291420,96.34,,,,,
291430,76.46,,,,,
291440,69.64,,,,,
291460,77.27,,,,,
291470,76.63,,,,,
291500,95.45,,,,,
291510,75.84,,,,,
291535,70.91,,,,,
291580,80.64,,,,,
291640,74.43,,,,,
291650,77.46,,,,,
291670,71.74,,,,,
291680,78.84,,,,,
291685,81.58,,,,,
291690,91.55,,,,,
291700,70.89,,,,,
291710,100,,,,,
291720,64.75,,,,,
291733,90.47,,,,,
291740,76.63,,,,,
291750,62.96,,,,,
291760,85.29,,,,,
291770,83.5,,,,,
291800,68.76,,,,,
291810,79.7,,,,,
291835,69.96,,,,,
291840,99.66,,,,,
291850,69.96,,,,,
291860,78.15,,,,,
291870,92.09,,,,,
291875,85.71,,,,,
291900,44.41,,,,,
291905,94.96,,,,,
