letter	frequency
Pri_0	.03501946
Pri_1	.0155642
Pri_2	.0311284
Pri_3	.07782101
Pri_4	.07782101
Pri_5	.1322957
Pri_6	.1128405
Pri_7	.2840467
Pri_8	.155642
Pri_9	.06225681
